x,y,c
4.823455387329783,5.458120569873176,1.0
3.8714576135146945,5.394654051618837,1.0
6.092785752416569,0.0,1.0
4.0618571682777125,2.1578616206475347,1.0
4.6330558325667655,2.729060284936588,1.0
1.5231964381041423,4.25225672304073,1.0
4.3791897595494085,3.8079910952603555,1.0
6.156252270670908,3.3002589492256416,1.0
2.1578616206475347,5.267721015110158,1.0
3.3002589492256416,6.029319234162229,1.0
2.1578616206475347,5.521587088127515,1.0
5.902386197653551,4.696522350821105,1.0
0.5077321460347141,3.681058058751677,1.0
3.744524577006016,0.8250647373064104,1.0
0.8250647373064104,2.284794657156213,1.0
3.236792430971302,2.4117276936648917,1.0
5.458120569873176,2.221328138901874,1.0
4.0618571682777125,0.25386607301735703,1.0
2.475194211919231,3.490658503988659,1.0
3.0463928762082846,3.681058058751677,1.0
0.5077321460347141,3.236792430971302,1.0
2.6655937666822487,3.173325912716963,1.0
5.267721015110158,3.0463928762082846,1.0
1.0154642920694281,2.3482611754105527,1.0
3.0463928762082846,3.42719198573432,1.0
4.1253236865320515,5.521587088127515,1.0
4.1253236865320515,0.1903995547630178,1.0
2.792526803190927,0.4442656277803748,1.0
4.25225672304073,5.204254496855819,1.0
3.5541250222429985,3.490658503988659,1.0
5.331187533364497,3.8079910952603555,1.0
3.8714576135146945,3.236792430971302,1.0
3.681058058751677,0.6981317007977318,1.0
4.1253236865320515,3.6175915404973376,1.0
5.648520124636194,3.173325912716963,1.0
0.12693303650867852,4.696522350821105,1.0
0.6981317007977318,5.013854942092801,1.0
4.3157232412950695,4.25225672304073,1.0
0.8250647373064104,0.6346651825433925,1.0
4.442656277803748,2.221328138901874,1.0
0.3807991095260356,4.3157232412950695,-1.0
6.156252270670908,5.458120569873176,-1.0
4.442656277803748,6.219718788925247,-1.0
1.0789308103237674,2.8559933214452666,-1.0
5.013854942092801,3.490658503988659,-1.0
4.886921905584122,3.490658503988659,-1.0
1.9039955476301778,0.12693303650867852,-1.0
5.902386197653551,5.711986642890533,-1.0
2.729060284936588,4.506122796058087,-1.0
0.7615982190520711,4.6330558325667655,-1.0
3.490658503988659,1.5231964381041423,-1.0
6.219718788925247,5.07732146034714,-1.0
0.6346651825433925,6.219718788925247,-1.0
0.06346651825433926,3.42719198573432,-1.0
0.4442656277803748,4.25225672304073,-1.0
1.0154642920694281,5.648520124636194,-1.0
0.1903995547630178,3.42719198573432,-1.0
0.6346651825433925,6.156252270670908,-1.0
2.4117276936648917,6.156252270670908,-1.0
2.53866073017357,6.092785752416569,-1.0
3.236792430971302,4.823455387329783,-1.0
0.6981317007977318,6.156252270670908,-1.0
4.6330558325667655,6.092785752416569,-1.0
3.1098593944626236,4.3157232412950695,-1.0
1.1423973285781066,1.5866629563584815,-1.0
0.8250647373064104,4.696522350821105,-1.0
3.681058058751677,6.092785752416569,-1.0
0.0,3.42719198573432,-1.0
5.267721015110158,2.729060284936588,-1.0
1.6501294746128208,4.6330558325667655,-1.0
3.5541250222429985,1.9039955476301778,-1.0
1.3327968833411243,1.269330365086785,-1.0
4.950388423838462,3.490658503988659,-1.0
1.2058638468324459,6.092785752416569,-1.0
5.204254496855819,0.4442656277803748,-1.0
1.0789308103237674,4.442656277803748,-1.0
6.029319234162229,5.775453161144872,-1.0
2.6655937666822487,4.442656277803748,-1.0
1.6501294746128208,0.5077321460347141,-1.0
1.71359599286716,4.950388423838462,-1.0
