,0
0,0.46007636038846095
1,0.5796954521986126
2,0.3706869028213543
3,0.372484032506969
4,0.3368756647369601
5,0.27729781140218296
6,0.2736760020486112
7,0.2793228019146496
8,0.2793418161277794
9,0.27537421830225345
10,0.2654384973956489
11,0.2634898967728856
12,0.263733574523838
13,0.2634365570619992
14,0.26348470307679406
15,0.26304150725736225
16,0.2626127807458726
17,0.2623830388717462
18,0.2624393847585206
19,0.26194374906073004
20,0.2620018056712524
21,0.2619463132733594
22,0.2619391986436829
23,0.2619111165851615
24,0.261903072725552
25,0.2619163851226619
26,0.2619132264956784
27,0.26191298684621467
28,0.2619129834568959
29,0.2619132270623412
30,0.2619130689984756
31,0.2619130482775079
32,0.2619130012508726
33,0.26191260441097075
34,0.2619125718469495
35,0.2619123142266293
36,0.2619122701909859
37,0.2619122387874971
38,0.26191220774297247
39,0.2619118109041153
40,0.261911794620497
41,0.26191176693861506
42,0.2619117411729809
43,0.2619113437574671
44,0.26191133461041544
45,0.26191131170923476
46,0.26191099749624613
47,0.26191085193554203
48,0.26191073232711376
49,0.2619106186224581
50,0.2619105841455623
51,0.26191056505234167
52,0.26191035979576593
53,0.26191023549432413
54,0.2619101287972172
55,0.2619101030387777
56,0.2619100866766769
57,0.2619100717246474
58,0.26191005735952794
59,0.2619097706140018
60,0.26190962921857236
61,0.2619095256952352
62,0.26190943312937787
63,0.2619094213831573
64,0.26190940946287916
65,0.26190923395247073
66,0.2619092251251258
67,0.26190921454551147
68,0.2619092038989108
69,0.2619091934804426
70,0.2619091833356007
71,0.2619091734639673
72,0.26190916385679064
73,0.2619087891512707
74,0.2619087955425621
75,0.26190879022832303
76,0.2619087823705198
77,0.26190848138223466
78,0.2619083286964184
79,0.26190822946651243
80,0.26190823485824904
81,0.2619082305978884
82,0.26190806860588367
83,0.26190796650049875
84,0.261907963810794
85,0.26190795797166944
86,0.2619078151014028
87,0.2619078112890454
88,0.2619078054887761
89,0.26190765299888874
90,0.26190755526958903
91,0.2619074803148786
92,0.26190747767657035
93,0.26190747274179815
94,0.26190735241341495
95,0.2619072687368395
96,0.26190726543896303
97,0.261907260637677
98,0.2619072554148516
99,0.26190711489895924
100,0.2619070228534392
101,0.26190702155641105
102,0.26190701781774745
103,0.261906898442109
104,0.2619068162062143
105,0.2619067511939763
106,0.26190674937988706
107,0.2619066689232964
108,0.2619066659672098
109,0.26190658090183455
110,0.26190657789975047
111,0.26190657407796775
112,0.26190656999472034
113,0.26190644631886484
114,0.26190644477442493
115,0.261906441708504
116,0.26190643809269976
117,0.2619062973016015
118,0.26190629681084465
119,0.2619061838490865
120,0.2619061835943823
121,0.2619060847790661
122,0.2619060137425621
123,0.26190601376903644
124,0.26190593681328556
125,0.26190587716954383
126,0.26190582656083466
127,0.2619058256209836
128,0.26190582331272544
129,0.26190574351381984
130,0.26190568283586213
131,0.26190568146699206
132,0.2619056144696206
133,0.2619055608097681
134,0.26190551435796594
135,0.2619054718847142
136,0.2619054701943192
137,0.2619054678178476
138,0.2619053985935766
139,0.26190539675938107
140,0.26190532820724427
141,0.26190532665847144
142,0.2619052586802787
143,0.26190525730531217
144,0.2619052552338187
145,0.2619051749459593
146,0.2619051738243646
147,0.2619051001026642
148,0.26190504381441493
149,0.261904997357859
150,0.2619049565139323
151,0.2619049563490455
152,0.2619049047654315
153,0.26190486126732787
154,0.26190486044439976
155,0.261904858842113
156,0.26190479550907064
157,0.2619047455448316
158,0.26190470333290133
159,0.2619047026775617
160,0.26190465276688063
161,0.2619046107845461
162,0.26190460991797276
163,0.2619045610117503
164,0.2619045198020401
165,0.26190448317114584
166,0.2619044493057056
167,0.26190444840208127
168,0.2619044053003267
169,0.2619044041132893
170,0.26190435625298497
171,0.2619043160568825
172,0.2619043151002241
173,0.26190431368438427
174,0.26190425818431773
175,0.26190421359814575
176,0.26190421295069344
177,0.26190421173937206
178,0.2619042102462844
179,0.26190414367276765
180,0.261904092538647
181,0.26190409241685114
182,0.2619040915349827
183,0.26190403033316956
184,0.2619039825553524
185,0.26190394303622044
186,0.2619039086343687
187,0.2619039090413346
188,0.26190390850270395
189,0.2619039074670881
190,0.2619039061738227
191,0.2619039047504551
192,0.26190382982879734
193,0.26190382953160085
194,0.2619037644904065
195,0.2619037145129906
196,0.2619037151449586
197,0.26190366494527983
198,0.2619036243245898
199,0.26190358976302175
200,0.26190355906081086
201,0.2619035308397914
202,0.2619035042345189
203,0.26190347870026603
204,0.26190345389334746
205,0.26190342959635193
206,0.2619034304442168
207,0.2619034303192268
208,0.2619033891620913
209,0.26190338888282627
210,0.2619033881464275
211,0.26190338715920386
212,0.2619033307367005
213,0.26190328641471206
214,0.26190324991059083
215,0.26190325028681005
216,0.2619032108029109
217,0.2619031774986621
218,0.26190317775545313
219,0.261903177379151
220,0.26190313333747167
221,0.26190309715659527
222,0.26190309719441696
223,0.2619030588798873
224,0.2619030265037389
225,0.26190299804524253
226,0.2619029721878797
227,0.26190294807228637
228,0.26190292513647384
229,0.26190290301224595
230,0.26190290339991656
231,0.26190287462526907
232,0.2619028487328886
233,0.2619028247791694
234,0.26190282486552746
235,0.26190282447459934
236,0.26190282380691465
237,0.26190282298025086
238,0.26190282206372395
239,0.2619027696688326
240,0.2619027693703537
241,0.261902768778058
242,0.2619027156671379
243,0.2619026737230106
244,0.261902674088753
245,0.2619026739091157
246,0.26190267340678075
247,0.2619026727148387
248,0.26190267191272554
249,0.2619026710478341
